23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'staticPageServiceImpl': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'onlinePawnController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'onlinePawnServiceImp': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'pawnPersonInfoServiceImpl': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'paymentController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'transactionLogController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'paymentService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'transactionLogService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'productHelper': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'productServiceImp': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'saleInfoImpl': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'oneWeekImpl': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'ESSearchController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'serachController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'categorySearchEngineService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'ESSearchService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'searchService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'staticResourceSearchEngineService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tenderSearchEngineService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shareOrderServiceImpl': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shippingController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shippingService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'SMSController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'smsService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'QQController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'SSOService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'pageBackgroundServiceImpl': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tenderCategotyServiceImpl': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tenderService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tokenServiceImpl': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'secCodeController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userInformationController': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'ESSearchProductService': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userInformationImpl': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userServiceImp': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'errorMsgUtil': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'jsonUtil': no URL paths identified
23410 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'URLMapping': no URL paths identified
